,PROPOSE_DT,BILL_NAME
105,2020-06-19,교통약자의 이동편의 증진법 일부개정법률안
106,2020-06-18,상가건물 임대차보호법 일부개정법률안
107,2020-06-18,주택임대차보호법 일부개정법률안
108,2020-06-18,발전소주변지역 지원에 관한 법률 일부개정법률안
109,2020-06-18,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안
110,2020-06-18,재난 및 안전관리 기본법 일부개정법률안
111,2020-06-17,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
112,2020-06-16,재난 및 안전관리 기본법 일부개정법률안
113,2020-06-16,고등교육법 일부개정법률안
114,2020-06-16,자동차관리법 일부개정법률안
115,2020-06-16,가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
116,2020-06-16,고등교육법 일부개정법률안
117,2020-06-16,출입국관리법 일부개정법률안
118,2020-06-15,한부모가족지원법 일부개정법률안
119,2020-06-15,동산·채권 등의 담보에 관한 법률 일부개정법률안
120,2020-06-12,검사징계법 일부개정법률안
121,2020-06-12,가정폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
122,2020-06-12,초·중등교육법 일부개정법률안
123,2020-06-11,자동차관리법 일부개정법률안
124,2020-06-11,고등교육법 일부개정법률안
125,2020-06-11,재난 및 안전관리 기본법 일부개정법률안
126,2020-06-11,주택임대차보호법 일부개정법률안
127,2020-06-10,장애인 등에 대한 특수교육법 일부개정법률안
128,2020-06-10,유통산업발전법 일부개정법률안
129,2020-06-09,주택임대차보호법 일부개정법률안
130,2020-06-08,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안
131,2020-06-05,고등교육법 일부개정법률안
132,2020-06-05,학교보건법 일부개정법률안
133,2020-06-05,주택임대차보호법 일부개정법률안
134,2020-06-05,국민체육진흥법 일부개정법률안
135,2020-06-05,학교체육 진흥법 일부개정법률안
136,2020-06-04,상가건물 임대차보호법 일부개정법률안
137,2020-06-04,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
138,2020-06-03,부정경쟁방지 및 영업비밀보호에 관한 법률 일부개정법률안
139,2020-06-03,대·중소기업 상생협력 촉진에 관한 법률 일부개정법률안
140,2020-06-02,물류정책기본법 일부개정법률안
141,2020-06-02,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
142,2020-06-01,주택법 일부개정법률안
143,2020-06-01,인사청문회법 일부개정법률안
144,2020-06-01,국회법 일부개정법률안
145,2020-06-01,상가건물 임대차보호법 일부개정법률안
146,2020-06-01,남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안
147,2020-06-01,고등교육법 일부개정법률안
148,2020-05-07,산업안전보건법 일부개정법률안
149,2020-05-04,전기통신사업법 일부개정법률안
150,2020-05-04,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
151,2020-04-29,지방자치단체 기금관리기본법 일부개정법률안
152,2020-04-29,지방재정법 일부개정법률안
153,2020-04-27,조세특례제한법 일부개정법률안
154,2020-04-27,긴급재난지원금 기부금 모집 및 사용에 관한 특별법안
155,2020-04-24,주한미군 소속 한국인 근로자의 생활안정 등 지원을 위한 특별법안
156,2020-04-24,아동·청소년의 성보호에 관한 법률 일부개정법률안
157,2020-04-24,주한미군 한국인근로자 지원 등에 관한 특별법안
158,2020-04-23,한국산업은행법 일부개정법률안
159,2020-04-21,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
160,2020-04-21,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
161,2020-04-21,형법 일부개정법률안
162,2020-04-21,아동·청소년의 성보호에 관한 법률 일부개정법률안
163,2020-04-20,조세특례제한법 일부개정법률안
164,2020-04-20,아동·청소년의 성보호에 관한 법률 일부개정법률안
165,2020-04-09,형법 일부개정법률안
166,2020-04-09,아동·청소년의 성보호에 관한 법률 일부개정법률안
167,2020-03-31,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
168,2020-03-31,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
169,2020-03-25,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
170,2020-03-25,아동·청소년의 성보호에 관한 법률 일부개정법률안
171,2020-03-23,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
172,2020-03-23,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안
173,2020-03-23,형법 일부개정법률안
174,2020-03-06,조세특례제한법 일부개정법률안
175,2020-03-03,조세특례제한법 일부개정법률안
176,2020-02-24,출입국관리법 일부개정법률안
177,2020-02-17,아동학대범죄의 처벌 등에 관한 특례법 일부개정법률안
178,2020-02-12,폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 일부개정법률안
179,2020-02-10,감염병의 예방 및 관리에 관한 법률 일부개정법률안
180,2020-02-10,통신비밀보호법 일부개정법률안
181,2020-02-07,감염병의 예방 및 관리에 관한 법률 일부개정법률안
182,2020-02-07,항공안전법 일부개정법률안
183,2020-02-06,감염병의 예방 및 관리에 관한 법률 일부개정법률안
184,2020-02-06,감염병의 예방 및 관리에 관한 법률 일부개정법률안
185,2020-01-29,감염병의 예방 및 관리에 관한 법률 일부개정법률안
186,2020-01-28,감염병의 예방 및 관리에 관한 법률 일부개정법률안
187,2020-01-20,성폭력범죄의 처벌 등에 관한 특례법 일부개정법률안
188,2020-01-16,스마트도시 조성 및 산업진흥 등에 관한 법률 일부개정법률안
189,2020-01-06,국가연구개발사업 등의 성과평가 및 성과관리에 관한 법률 일부개정법률안
190,2020-01-02,한국철도시설공단법 일부개정법률안
